iteration, itertime, mapcons, ai
1, 2.63067, 620, 0.867152
2, 2.56519, 634, 0.870597
3, 2.5599, 656, 0.878123
4, 2.54661, 712, 0.875229
5, 2.51437, 715, 0.876436
6, 2.48126, 787, 0.874336
7, 2.48868, 787, 0.874336
8, 2.4249, 811, 0.876706
9, 2.49497, 811, 0.876706
10, 2.47941, 811, 0.876706
11, 2.80244, 832, 0.874036
12, 2.77347, 832, 0.874036
13, 2.7815, 884, 0.874117
14, 2.74769, 884, 0.874117
15, 2.75182, 884, 0.874117
16, 2.74218, 884, 0.874117
17, 2.73374, 884, 0.874117
18, 2.737, 884, 0.874117
19, 2.58728, 884, 0.874117
20, 2.72164, 884, 0.874117
21, 2.72735, 884, 0.874117
22, 2.65365, 884, 0.874117
23, 2.64388, 884, 0.874117
24, 2.64556, 884, 0.874117
25, 2.66118, 884, 0.874117
26, 2.68508, 884, 0.874117
27, 2.70559, 884, 0.874117
28, 2.656, 884, 0.874117
29, 2.64656, 884, 0.874117
30, 2.81367, 884, 0.874117
31, 2.69986, 884, 0.874117
32, 2.67182, 884, 0.874117
33, 2.64856, 884, 0.874117
34, 2.71142, 884, 0.874117
35, 2.68384, 884, 0.874117
36, 2.62803, 884, 0.874117
37, 2.6818, 884, 0.874117
38, 2.65957, 884, 0.874117
39, 2.62555, 884, 0.874117
40, 2.7215, 884, 0.874117
41, 2.70144, 884, 0.874117
42, 2.66001, 884, 0.874117
43, 2.67343, 884, 0.874117
44, 2.68067, 884, 0.874117
45, 2.63919, 884, 0.874117
46, 2.61081, 884, 0.874117
47, 2.70169, 884, 0.874117
48, 2.65093, 884, 0.874117
49, 2.63606, 884, 0.874117
50, 2.70031, 884, 0.874117
51, 2.62787, 884, 0.874117
52, 2.76845, 884, 0.874117
53, 2.97044, 884, 0.874117
54, 2.83331, 884, 0.874117
55, 2.73297, 884, 0.874117
56, 2.68868, 884, 0.874117
57, 2.62175, 884, 0.874117
58, 2.67567, 884, 0.874117
59, 2.61771, 884, 0.874117
60, 2.64655, 884, 0.874117
