iteration, itertime, mapcons, ai
1, 2.71049, 685, 0.843761
2, 2.84716, 695, 0.864476
3, 2.64042, 695, 0.864737
4, 2.67576, 695, 0.864737
5, 2.68477, 740, 0.866576
6, 2.69172, 740, 0.866576
7, 2.57748, 740, 0.866576
8, 2.58161, 740, 0.866576
9, 2.63545, 740, 0.866576
10, 2.56268, 789, 0.862523
11, 2.47023, 789, 0.862523
12, 2.46855, 789, 0.862523
13, 2.52743, 789, 0.862523
14, 2.54664, 789, 0.862523
15, 2.54112, 789, 0.862523
16, 2.51597, 866, 0.870464
17, 2.55206, 866, 0.870464
18, 2.44585, 866, 0.870464
19, 2.46569, 866, 0.870464
20, 2.49308, 866, 0.870464
21, 2.62397, 866, 0.870464
22, 2.55968, 866, 0.870464
23, 2.47759, 866, 0.870464
24, 2.51685, 866, 0.870464
25, 2.4327, 866, 0.870464
26, 2.43986, 866, 0.870464
27, 2.5055, 866, 0.870464
28, 2.48158, 866, 0.870464
29, 2.51852, 866, 0.870464
30, 2.45672, 866, 0.870464
31, 2.48018, 866, 0.870464
32, 2.49308, 866, 0.870464
33, 2.56491, 866, 0.870464
34, 2.49028, 866, 0.870464
35, 2.48626, 866, 0.870464
36, 2.47554, 866, 0.870464
37, 2.46781, 866, 0.870464
38, 2.38179, 866, 0.870464
39, 2.38035, 866, 0.870464
40, 2.43539, 866, 0.870464
41, 2.46368, 866, 0.870464
42, 2.50959, 866, 0.870464
43, 2.74664, 866, 0.870464
44, 2.83603, 866, 0.870464
45, 2.77308, 866, 0.870464
46, 2.78798, 866, 0.870464
47, 2.81207, 866, 0.870464
48, 2.79046, 866, 0.870464
49, 2.62229, 866, 0.870464
50, 2.7037, 866, 0.870464
51, 2.599, 866, 0.870464
52, 2.74324, 873, 0.874818
53, 2.83781, 873, 0.874818
54, 2.74776, 873, 0.874818
55, 2.76952, 876, 0.876801
56, 2.8743, 876, 0.876801
57, 2.72399, 876, 0.876801
58, 2.82986, 876, 0.876801
59, 2.80523, 876, 0.876801
60, 2.56195, 876, 0.876801
