cells, iterTime
1263, 0.153492
2126, 0.241691
2163, 0.243413
2178, 0.236259
2190, 0.231497
2781, 0.29375
3945, 0.418282
4939, 0.513418
5040, 0.529834
5118, 0.529819
5587, 0.596289
5998, 0.666745
6209, 0.650047
6241, 0.664278
6273, 0.650798
6578, 0.69242
6873, 0.726853
7011, 0.750409
7131, 0.7505
7230, 0.754208
7769, 0.810908
7953, 0.812702
