iteration, itertime, mapcons, ai
1, 1.0351, 262, 0.884915
2, 1.06566, 340, 0.886962
3, 0.951578, 340, 0.886893
4, 0.992763, 340, 0.886893
5, 0.974502, 340, 0.886962
6, 1.01774, 340, 0.886893
7, 0.955875, 343, 0.892445
8, 0.977407, 343, 0.892509
9, 0.947175, 343, 0.892509
10, 1.03256, 343, 0.892445
11, 0.980436, 343, 0.892509
12, 0.938904, 343, 0.892509
13, 1.13546, 361, 0.891269
14, 1.03354, 364, 0.888064
15, 1.01177, 364, 0.888064
16, 1.01467, 364, 0.888002
17, 1.03094, 364, 0.888002
18, 0.994866, 364, 0.888064
19, 1.00209, 364, 0.888002
20, 0.980457, 364, 0.888002
21, 1.1039, 364, 0.888064
22, 0.983758, 408, 0.895237
23, 1.06146, 408, 0.895203
24, 1.00114, 408, 0.895237
25, 0.991671, 408, 0.895237
26, 1.00011, 408, 0.895203
27, 1.00069, 408, 0.895203
28, 1.00067, 422, 0.897631
29, 0.977529, 422, 0.897641
30, 1.085, 424, 0.909765
31, 0.965013, 476, 0.897564
32, 0.987578, 476, 0.897564
33, 0.993972, 653, 0.905124
34, 1.07457, 653, 0.905249
35, 0.978405, 653, 0.905249
36, 0.999154, 653, 0.905124
37, 0.907657, 653, 0.905124
38, 0.938859, 653, 0.905249
39, 0.913715, 820, 0.91419
40, 0.926648, 820, 0.91419
41, 0.991507, 820, 0.914406
42, 0.946, 820, 0.914406
43, 0.930567, 820, 0.91419
44, 0.925328, 880, 0.908604
45, 0.971215, 880, 0.908604
46, 0.935388, 880, 0.908415
47, 0.96113, 880, 0.908604
48, 0.922821, 880, 0.908604
49, 0.925718, 880, 0.908415
50, 1.03745, 880, 0.908415
51, 0.916396, 880, 0.908604
52, 0.99018, 880, 0.908415
53, 0.985689, 880, 0.908415
54, 0.911993, 880, 0.908604
55, 0.912627, 880, 0.908604
56, 0.950187, 901, 0.909248
57, 0.90609, 901, 0.909427
58, 0.934119, 901, 0.909427
59, 0.933848, 901, 0.909248
60, 0.905557, 901, 0.909248
