iteration, itertime, mapcons, ai
1, 1.05213, 332, 0.897068
2, 1.01349, 333, 0.898609
3, 1.04858, 333, 0.898547
4, 1.01777, 364, 0.896092
5, 1.02247, 395, 0.883205
6, 0.946279, 462, 0.888503
7, 0.956203, 462, 0.888503
8, 0.99854, 462, 0.888585
9, 0.922091, 562, 0.90399
10, 0.968116, 644, 0.910835
11, 0.915696, 644, 0.910844
12, 0.895576, 644, 0.910844
13, 0.929911, 644, 0.910835
14, 0.982372, 644, 0.910835
15, 0.929777, 644, 0.910844
16, 0.940258, 644, 0.910835
17, 0.926524, 644, 0.910835
18, 0.926188, 644, 0.910844
19, 0.904703, 644, 0.910835
20, 0.922108, 644, 0.910835
21, 0.917787, 644, 0.910844
22, 0.900476, 644, 0.910844
23, 0.915836, 644, 0.910835
24, 0.89939, 644, 0.910844
25, 0.898076, 644, 0.910844
26, 0.889953, 644, 0.910835
27, 0.901542, 644, 0.910835
28, 0.889417, 644, 0.910844
29, 0.894381, 644, 0.910835
30, 0.915727, 644, 0.910835
31, 0.894909, 644, 0.910844
32, 0.903436, 644, 0.910844
33, 0.90945, 644, 0.910835
34, 0.91418, 644, 0.910844
35, 0.900059, 644, 0.910844
36, 0.9337, 644, 0.910835
37, 0.900518, 644, 0.910835
38, 0.89913, 644, 0.910844
39, 0.893892, 644, 0.910835
40, 0.906663, 644, 0.910835
41, 0.919416, 644, 0.910844
42, 0.913646, 644, 0.910844
43, 0.917018, 644, 0.910835
44, 0.918255, 644, 0.910844
45, 0.906375, 644, 0.910844
46, 0.900504, 644, 0.910835
47, 0.953753, 644, 0.910844
48, 0.903789, 644, 0.910844
49, 0.917065, 644, 0.910835
50, 0.899308, 644, 0.910835
51, 0.93322, 644, 0.910844
52, 0.959196, 644, 0.910835
53, 0.974049, 644, 0.910835
54, 0.91336, 644, 0.910844
55, 0.905964, 644, 0.910844
56, 1.06088, 644, 0.910835
57, 0.917131, 644, 0.910844
58, 0.904218, 644, 0.910844
59, 0.911577, 644, 0.910835
60, 0.92582, 644, 0.910835
