iteration, itertime, mapcons, ai
1, 0.942405, 413, 0.909317
2, 0.987393, 413, 0.909317
3, 0.950092, 509, 0.896168
4, 1.03312, 833, 0.898787
5, 0.947656, 833, 0.898787
6, 0.923725, 993, 0.923914
7, 0.957784, 1381, 0.907103
8, 0.934863, 1381, 0.907248
9, 0.935669, 1606, 0.914211
10, 0.886881, 1606, 0.914211
11, 0.943051, 1606, 0.914418
12, 0.897901, 1606, 0.914418
13, 0.903805, 1606, 0.914211
14, 0.869332, 1606, 0.914418
15, 0.87832, 1771, 0.912456
16, 0.87747, 1771, 0.912348
17, 0.901904, 1771, 0.912348
18, 0.930732, 1771, 0.912456
19, 0.896021, 1771, 0.912348
20, 0.903756, 1771, 0.912348
21, 0.91306, 2099, 0.915467
22, 0.951416, 2099, 0.915467
23, 0.932134, 2099, 0.915268
24, 0.907121, 2099, 0.915467
25, 0.954081, 2099, 0.915467
26, 0.938531, 2099, 0.915268
27, 0.908184, 2099, 0.915268
28, 0.910512, 2099, 0.915467
29, 0.904303, 2099, 0.915268
30, 0.975898, 2099, 0.915268
31, 0.914296, 2099, 0.915467
32, 0.940564, 2099, 0.915268
33, 0.898996, 2099, 0.915268
34, 0.91753, 2099, 0.915467
35, 0.96768, 2099, 0.915467
36, 0.959775, 2099, 0.915268
37, 0.942591, 2099, 0.915467
38, 0.912341, 2099, 0.915467
39, 0.943825, 2099, 0.915268
40, 0.922368, 2099, 0.915268
41, 0.912055, 2099, 0.915467
42, 0.922125, 2099, 0.915268
43, 0.900446, 2099, 0.915268
44, 0.904169, 2099, 0.915467
45, 0.916746, 2099, 0.915467
46, 0.912848, 2099, 0.915268
47, 0.898171, 2099, 0.915467
48, 0.883953, 2099, 0.915467
49, 0.899945, 2099, 0.915268
50, 0.936085, 2099, 0.915268
51, 0.911903, 2099, 0.915467
52, 0.904371, 2099, 0.915268
53, 0.922688, 2099, 0.915268
54, 0.884183, 2099, 0.915467
55, 0.911093, 2099, 0.915467
56, 0.905898, 2099, 0.915268
57, 0.907857, 2099, 0.915467
58, 0.905563, 2099, 0.915467
59, 0.90138, 2099, 0.915268
60, 0.904825, 2099, 0.915268
