iteration, itertime, mapcons, ai
1, 0.146523, 33, 0.815097
2, 0.183526, 67, 0.856166
3, 0.165786, 67, 0.856166
4, 0.21647, 98, 0.893677
5, 0.190998, 139, 0.798984
6, 0.358385, 139, 0.879453
7, 0.330796, 139, 0.879264
8, 0.485607, 139, 0.879264
9, 0.511642, 139, 0.879423
10, 0.611262, 139, 0.879423
11, 0.612251, 192, 0.895023
12, 0.665051, 192, 0.881132
13, 0.651581, 303, 0.881096
14, 0.69162, 303, 0.879699
15, 0.663852, 329, 0.896272
16, 0.682408, 329, 0.896272
17, 0.726085, 329, 0.896381
18, 0.637796, 329, 0.892447
19, 0.80299, 329, 0.892447
20, 0.841553, 329, 0.89235
21, 0.896883, 329, 0.890324
22, 0.98497, 329, 0.890324
23, 0.985806, 329, 0.888595
24, 1.0044, 329, 0.888595
25, 1.00404, 329, 0.888116
26, 1.07427, 329, 0.888116
27, 0.989763, 329, 0.888116
28, 1.15748, 329, 0.888116
29, 1.22889, 329, 0.888116
30, 1.28154, 329, 0.888116
31, 1.29012, 329, 0.888116
32, 1.31959, 329, 0.888116
33, 1.21127, 329, 0.888116
34, 1.09408, 329, 0.888116
35, 1.35641, 329, 0.888116
36, 1.31806, 329, 0.888116
37, 1.41139, 329, 0.888116
38, 1.55575, 329, 0.888116
39, 1.4203, 329, 0.888116
40, 1.36643, 329, 0.888116
41, 1.36935, 329, 0.888116
42, 1.207, 329, 0.888116
43, 1.33515, 329, 0.888116
44, 1.33951, 329, 0.888116
45, 1.3651, 329, 0.888116
46, 1.58337, 329, 0.888116
47, 1.15717, 329, 0.888116
48, 1.11485, 329, 0.888116
49, 0.160734, 329, 0.794851
50, 0.154996, 329, 0.800395
51, 0.133373, 329, 0.800395
52, 0.162596, 329, 0.846912
53, 0.164911, 329, 0.846912
54, 0.183627, 329, 0.846763
55, 0.202426, 329, 0.846763
