iteration, itertime, mapcons, ai
1, 1.01081, 258, 0.87877
2, 1.00138, 295, 0.899133
3, 1.0024, 307, 0.897657
4, 0.985703, 307, 0.897657
5, 0.957229, 307, 0.897728
6, 0.945537, 388, 0.891025
7, 0.917144, 388, 0.891025
8, 0.966688, 480, 0.89788
9, 0.966219, 480, 0.89788
10, 0.928247, 480, 0.897849
11, 0.96303, 480, 0.89788
12, 0.947174, 480, 0.89788
13, 1.15508, 480, 0.897849
14, 1.1183, 487, 0.899434
15, 1.09988, 487, 0.899434
16, 1.08361, 487, 0.899379
17, 1.02703, 487, 0.899379
18, 1.0182, 487, 0.899434
19, 1.00265, 487, 0.899379
20, 1.04256, 487, 0.899379
21, 0.988304, 487, 0.899434
22, 1.00812, 487, 0.899434
23, 0.965242, 487, 0.899379
24, 0.97589, 487, 0.899434
25, 1.00426, 487, 0.899434
26, 0.985995, 487, 0.899379
27, 1.04171, 487, 0.899379
28, 0.977986, 487, 0.899434
29, 0.954978, 487, 0.899379
30, 0.945109, 487, 0.899379
31, 0.947498, 487, 0.899434
32, 0.920194, 487, 0.899434
33, 0.922428, 487, 0.899379
34, 0.922232, 487, 0.899434
35, 0.918995, 487, 0.899434
36, 0.94562, 487, 0.899379
37, 0.927011, 487, 0.899379
38, 0.919349, 487, 0.899434
39, 0.923022, 487, 0.899379
40, 0.905068, 487, 0.899379
41, 0.915499, 487, 0.899434
42, 0.907018, 487, 0.899434
43, 0.916683, 487, 0.899379
44, 0.938375, 487, 0.899434
45, 0.91235, 487, 0.899434
46, 0.932905, 487, 0.899379
47, 0.91913, 487, 0.899434
48, 0.893245, 487, 0.899434
49, 0.916513, 487, 0.899379
50, 0.931684, 487, 0.899379
51, 0.902822, 487, 0.899434
52, 0.912002, 487, 0.899379
53, 0.923905, 487, 0.899379
54, 0.924409, 487, 0.899434
55, 0.916304, 487, 0.899434
56, 0.903241, 487, 0.899379
57, 0.917903, 487, 0.899434
58, 0.9077, 487, 0.899434
59, 0.900582, 487, 0.899379
60, 0.898663, 487, 0.899379
