iteration, itertime, mapcons, ai
1, 1.00329, 275, 0.889708
2, 0.993993, 304, 0.880151
3, 1.00141, 312, 0.884364
4, 0.979719, 312, 0.884364
5, 0.980618, 330, 0.869913
6, 0.963936, 330, 0.869701
7, 0.963261, 348, 0.900317
8, 0.95594, 348, 0.900334
9, 0.953855, 348, 0.900317
10, 0.953496, 460, 0.897195
11, 0.981805, 481, 0.897965
12, 0.936414, 481, 0.897965
13, 0.942971, 481, 0.897934
14, 0.965598, 481, 0.897965
15, 0.935779, 481, 0.897965
16, 0.939868, 481, 0.897934
17, 0.929296, 481, 0.897934
18, 0.927297, 481, 0.897965
19, 0.939214, 481, 0.897934
20, 1.04806, 533, 0.896117
21, 0.914213, 533, 0.896201
22, 0.992429, 533, 0.896201
23, 0.960064, 533, 0.896117
24, 0.944237, 533, 0.896201
25, 0.966179, 533, 0.896201
26, 0.916684, 533, 0.896117
27, 0.915521, 533, 0.896117
28, 0.910432, 533, 0.896201
29, 0.981009, 533, 0.896117
30, 0.923511, 533, 0.896117
31, 0.89971, 533, 0.896201
32, 0.92838, 533, 0.896201
33, 0.924368, 551, 0.907306
34, 0.917664, 551, 0.907388
35, 0.899801, 551, 0.907388
36, 0.917137, 551, 0.907306
37, 0.902698, 551, 0.907306
38, 0.969346, 551, 0.907388
39, 0.929035, 551, 0.907306
40, 0.943069, 551, 0.907306
41, 0.938565, 551, 0.907388
42, 0.91254, 551, 0.907306
43, 0.994845, 551, 0.907306
44, 0.920256, 551, 0.907388
45, 0.91569, 551, 0.907388
46, 0.957221, 551, 0.907306
47, 0.909059, 551, 0.907388
48, 0.909517, 551, 0.907388
49, 0.965508, 551, 0.907306
50, 0.91032, 551, 0.907306
51, 0.926193, 551, 0.907388
52, 0.916894, 551, 0.907306
53, 0.98649, 551, 0.907306
54, 0.928676, 551, 0.907388
55, 0.909305, 551, 0.907388
56, 0.942996, 551, 0.907306
57, 0.913733, 551, 0.907388
58, 0.983316, 551, 0.907388
59, 0.928537, 551, 0.907306
60, 0.916067, 551, 0.907306
