x, y, yaw, fitVal
265.006, 74.64, -0.084786, 271
1.92208, -10.5881, -0.00191705, 485
1.92208, -10.5881, -0.00191705, 485
28.8311, -34.9496, 0.0290741, 548
28.8311, -34.9496, 0.0290741, 548
28.8311, -34.9496, 0.0290741, 548
28.8311, -34.9496, 0.0290741, 548
28.8311, -34.9496, 0.0290741, 548
28.8311, -34.9496, 0.0290741, 548
28.8311, -34.9496, 0.0290741, 548
28.8311, -34.9496, 0.0290741, 548
28.8311, -34.9496, 0.0290741, 548
31.1584, -22.1474, 0.032164, 559
31.1584, -22.1474, 0.032164, 559
31.1584, -22.1474, 0.032164, 559
31.1584, -22.1474, 0.032164, 559
31.1584, -22.1474, 0.032164, 559
31.1584, -22.1474, 0.032164, 559
31.1584, -22.1474, 0.032164, 559
14.459, 0.379655, 0.000288667, 567
7.78325, -3.27999, 0.0075139, 1021
7.78325, -3.27999, 0.0075139, 1021
7.78325, -3.27999, 0.0075139, 1021
7.78325, -3.27999, 0.0075139, 1021
7.78325, -3.27999, 0.0075139, 1021
7.78325, -3.27999, 0.0075139, 1021
8.60747, -5.17435, 0.00819612, 1182
8.60747, -5.17435, 0.00819612, 1182
8.60747, -5.17435, 0.00819612, 1182
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
2.87045, -3.44555, 0.00249596, 1306
