iteration, itertime, mapcons, ai
1, 1.30797, 349, 0.882679
2, 1.38019, 349, 0.882523
3, 1.32603, 356, 0.905095
4, 1.33423, 356, 0.905095
5, 1.30987, 356, 0.905151
6, 1.30884, 356, 0.905151
7, 1.30506, 356, 0.905095
8, 1.2809, 360, 0.90298
9, 1.30269, 376, 0.91585
10, 1.31749, 378, 0.903486
11, 1.35975, 386, 0.901817
12, 1.25072, 405, 0.901703
13, 1.30728, 405, 0.90168
14, 1.33142, 405, 0.90168
15, 1.33349, 405, 0.901703
16, 1.32936, 412, 0.902566
17, 1.34415, 429, 0.889769
18, 1.27206, 429, 0.889775
19, 1.45054, 429, 0.889775
20, 1.25109, 429, 0.889769
21, 1.35331, 429, 0.889769
22, 1.29669, 429, 0.889775
23, 1.3127, 429, 0.889769
24, 1.27247, 429, 0.889769
25, 1.27216, 429, 0.889775
26, 1.24819, 429, 0.889775
27, 1.28958, 429, 0.889769
28, 1.24076, 429, 0.889775
29, 1.26956, 429, 0.889775
30, 1.53473, 429, 0.889769
31, 1.38351, 429, 0.889769
32, 1.51976, 429, 0.889775
33, 1.5077, 429, 0.889769
34, 1.50986, 429, 0.889769
35, 1.50882, 429, 0.889775
36, 1.43183, 429, 0.889769
37, 1.42555, 429, 0.889769
38, 1.38756, 429, 0.889775
39, 1.41622, 429, 0.889775
40, 1.55465, 429, 0.889769
41, 1.37372, 429, 0.889769
42, 1.39672, 429, 0.889775
43, 1.40214, 429, 0.889769
44, 1.42134, 436, 0.901647
45, 1.36763, 436, 0.901661
46, 1.39189, 436, 0.901647
47, 1.474, 436, 0.901647
48, 1.38616, 436, 0.901661
49, 1.39282, 436, 0.901661
50, 1.41841, 436, 0.901647
51, 1.38025, 436, 0.901661
52, 1.55525, 436, 0.901661
53, 1.41278, 436, 0.901647
54, 1.39582, 436, 0.901647
55, 1.37064, 436, 0.901661
56, 1.5213, 436, 0.901647
57, 1.34307, 436, 0.901647
58, 1.30202, 436, 0.901661
59, 1.33341, 436, 0.901661
60, 1.27443, 436, 0.901647
