iteration, itertime, mapcons, ai
1, 1.22963, 385, 0.912257
2, 1.23117, 389, 0.900366
3, 1.21998, 389, 0.900313
4, 1.26068, 405, 0.884405
5, 1.23818, 405, 0.884405
6, 1.19522, 405, 0.884366
7, 1.18272, 405, 0.884366
8, 1.21441, 405, 0.884405
9, 1.16773, 405, 0.884366
10, 1.18594, 405, 0.884366
11, 1.31923, 422, 0.879674
12, 1.19545, 422, 0.879559
13, 1.18573, 422, 0.879559
14, 1.1821, 422, 0.879674
15, 1.21025, 495, 0.889966
16, 1.19877, 495, 0.889957
17, 1.18557, 495, 0.889957
18, 1.2349, 495, 0.889966
19, 1.17366, 495, 0.889957
20, 1.19653, 495, 0.889957
21, 1.146, 495, 0.889966
22, 1.17532, 495, 0.889957
23, 1.14579, 495, 0.889957
24, 1.17796, 616, 0.895784
25, 1.22299, 616, 0.895784
26, 1.16685, 616, 0.895794
27, 1.15741, 616, 0.895784
28, 1.18346, 616, 0.895784
29, 1.19238, 617, 0.890344
30, 1.15577, 617, 0.890344
31, 1.17087, 617, 0.890344
32, 1.19464, 617, 0.890344
33, 1.15795, 617, 0.890344
34, 1.15752, 617, 0.890344
35, 1.20716, 617, 0.890344
36, 1.16923, 617, 0.890344
37, 1.16717, 617, 0.890344
38, 1.21042, 617, 0.890344
39, 1.16924, 617, 0.890344
40, 1.1634, 617, 0.890344
41, 1.16358, 617, 0.890344
42, 1.16179, 617, 0.890344
43, 1.16304, 617, 0.890344
44, 1.26394, 617, 0.890344
45, 1.19739, 617, 0.890344
46, 1.16519, 617, 0.890344
47, 1.17477, 617, 0.890344
48, 1.19091, 617, 0.890344
49, 1.21065, 617, 0.890344
50, 1.18743, 617, 0.890344
51, 1.21906, 617, 0.890344
52, 1.17498, 617, 0.890344
53, 1.16647, 617, 0.890344
54, 1.20554, 617, 0.890344
55, 1.18115, 617, 0.890344
56, 1.22024, 617, 0.890344
57, 1.16648, 617, 0.890344
58, 1.32347, 617, 0.890344
59, 1.19437, 617, 0.890344
60, 1.16514, 617, 0.890344
