iteration, itertime, mapcons, ai
1, 1.37969, 545, 0.889534
2, 1.3247, 545, 0.889571
3, 1.28825, 545, 0.889562
4, 1.34547, 545, 0.889562
5, 1.25858, 545, 0.889571
6, 1.34326, 675, 0.892762
7, 1.34641, 675, 0.892762
8, 1.28934, 675, 0.892762
9, 1.29891, 675, 0.892762
10, 1.25753, 675, 0.892762
11, 1.26319, 675, 0.892762
12, 1.34145, 675, 0.892762
13, 1.24941, 675, 0.892762
14, 1.27791, 675, 0.892762
15, 1.23929, 675, 0.892762
16, 1.24411, 695, 0.89728
17, 1.28116, 695, 0.897253
18, 1.22351, 695, 0.89728
19, 1.25404, 695, 0.89728
20, 1.29879, 695, 0.897253
21, 1.2311, 695, 0.897253
22, 1.2492, 695, 0.89728
23, 1.30108, 695, 0.897253
24, 1.24028, 695, 0.897253
25, 1.25577, 695, 0.89728
26, 1.27629, 695, 0.89728
27, 1.24015, 847, 0.896434
28, 1.27074, 847, 0.896397
29, 1.24977, 847, 0.896397
30, 1.25755, 847, 0.896434
31, 1.27717, 847, 0.896434
32, 1.30133, 847, 0.896397
33, 1.31436, 847, 0.896434
34, 1.31094, 847, 0.896434
35, 1.25011, 847, 0.896397
36, 1.23118, 847, 0.896434
37, 1.26695, 847, 0.896434
38, 1.30007, 847, 0.896397
39, 1.25281, 847, 0.896397
40, 1.26323, 847, 0.896434
41, 1.31046, 847, 0.896434
42, 1.24564, 847, 0.896397
43, 1.23955, 847, 0.896434
44, 1.26775, 847, 0.896434
45, 1.22478, 847, 0.896397
46, 1.22873, 847, 0.896434
47, 1.26608, 847, 0.896434
48, 1.25481, 847, 0.896397
49, 1.23559, 847, 0.896397
50, 1.24504, 847, 0.896434
51, 1.24494, 847, 0.896397
52, 1.25713, 847, 0.896397
53, 1.30832, 847, 0.896434
54, 1.28535, 847, 0.896434
55, 1.2321, 847, 0.896397
56, 1.28891, 847, 0.896434
57, 1.29893, 847, 0.896434
58, 1.26519, 847, 0.896397
59, 1.25664, 847, 0.896397
60, 1.30272, 847, 0.896434
