iteration, itertime, mapcons, ai
1, 1.2213, 367, 0.895042
2, 1.23855, 367, 0.895033
3, 1.19906, 670, 0.893124
4, 1.22763, 670, 0.893124
5, 1.20039, 670, 0.893115
6, 1.2073, 670, 0.893115
7, 1.22674, 670, 0.893124
8, 1.18766, 670, 0.893115
9, 1.15712, 670, 0.893115
10, 1.21931, 670, 0.893124
11, 1.20242, 670, 0.893115
12, 1.17859, 670, 0.893115
13, 1.16923, 670, 0.893124
14, 1.21, 670, 0.893124
15, 1.23227, 670, 0.893115
16, 1.18673, 670, 0.893115
17, 1.18651, 670, 0.893124
18, 1.20199, 670, 0.893115
19, 1.17186, 670, 0.893115
20, 1.17354, 670, 0.893124
21, 1.17172, 670, 0.893115
22, 1.16745, 670, 0.893115
23, 1.18351, 670, 0.893124
24, 1.1953, 670, 0.893124
25, 1.1706, 670, 0.893115
26, 1.16483, 670, 0.893124
27, 1.16001, 670, 0.893124
28, 1.19125, 670, 0.893115
29, 1.16298, 670, 0.893115
30, 1.16009, 670, 0.893124
31, 1.17431, 670, 0.893115
32, 1.18059, 670, 0.893115
33, 1.2029, 671, 0.911161
34, 1.21863, 671, 0.911161
35, 1.20348, 671, 0.911149
36, 1.17029, 671, 0.911161
37, 1.17599, 671, 0.911161
38, 1.23616, 671, 0.911149
39, 1.17948, 671, 0.911149
40, 1.16844, 671, 0.911161
41, 1.22265, 671, 0.911149
42, 1.18639, 671, 0.911149
43, 1.20034, 671, 0.911161
44, 1.17405, 671, 0.911149
45, 1.24676, 671, 0.911149
46, 1.20456, 671, 0.911161
47, 1.17965, 671, 0.911161
48, 1.22771, 671, 0.911149
49, 1.20463, 671, 0.911149
50, 1.21123, 687, 0.912939
51, 1.20186, 687, 0.912943
52, 1.20861, 700, 0.920256
53, 1.17588, 700, 0.920276
54, 1.17635, 700, 0.920256
55, 1.19095, 700, 0.920256
56, 1.22805, 729, 0.914157
57, 1.17847, 729, 0.914157
58, 1.17002, 729, 0.914138
59, 1.19087, 733, 0.917468
60, 1.19268, 733, 0.917468
