iteration, itertime, mapcons, ai
1, 1.27055, 375, 0.879508
2, 1.25503, 399, 0.894492
3, 1.23729, 399, 0.894485
4, 1.21223, 399, 0.894485
5, 1.258, 433, 0.885915
6, 1.24729, 433, 0.885915
7, 1.22154, 433, 0.885963
8, 1.19135, 433, 0.885915
9, 1.25499, 433, 0.885915
10, 1.25343, 433, 0.885963
11, 1.19671, 433, 0.885915
12, 1.17005, 433, 0.885915
13, 1.25811, 590, 0.894627
14, 1.19246, 590, 0.894627
15, 1.24749, 590, 0.894599
16, 1.22023, 597, 0.896489
17, 1.27899, 597, 0.896498
18, 1.21572, 597, 0.896489
19, 1.19541, 597, 0.896489
20, 1.27619, 597, 0.896498
21, 1.17995, 597, 0.896489
22, 1.21426, 597, 0.896489
23, 1.18105, 597, 0.896498
24, 1.2054, 597, 0.896498
25, 1.18315, 597, 0.896489
26, 1.19137, 597, 0.896498
27, 1.25247, 597, 0.896498
28, 1.17137, 597, 0.896489
29, 1.18001, 613, 0.88908
30, 1.23728, 613, 0.889089
31, 1.17961, 613, 0.88908
32, 1.18246, 613, 0.88908
33, 1.17425, 613, 0.889089
34, 1.18152, 613, 0.889089
35, 1.1736, 613, 0.88908
36, 1.17963, 613, 0.889089
37, 1.23345, 742, 0.894063
38, 1.18076, 742, 0.894036
39, 1.20953, 742, 0.894036
40, 1.20267, 742, 0.894063
41, 1.18481, 742, 0.894036
42, 1.18132, 742, 0.894036
43, 1.18955, 742, 0.894063
44, 1.16464, 742, 0.894036
45, 1.17353, 742, 0.894036
46, 1.16459, 742, 0.894063
47, 1.20928, 742, 0.894063
48, 1.18376, 742, 0.894036
49, 1.1663, 742, 0.894036
50, 1.16774, 742, 0.894063
51, 1.20202, 742, 0.894036
52, 1.16584, 742, 0.894036
53, 1.2319, 742, 0.894063
54, 1.26228, 742, 0.894036
55, 1.19504, 742, 0.894036
56, 1.19299, 742, 0.894063
57, 1.16893, 742, 0.894063
58, 1.17907, 742, 0.894036
59, 1.14326, 742, 0.894063
60, 1.18238, 742, 0.894063
