iteration, itertime, mapcons, ai
1, 1.40779, 382, 0.88726
2, 1.55481, 382, 0.88726
3, 1.40462, 382, 0.88733
4, 1.41405, 403, 0.898442
5, 1.52997, 403, 0.898483
6, 1.42007, 403, 0.898483
7, 1.39311, 403, 0.898442
8, 1.36278, 403, 0.898483
9, 1.28113, 424, 0.902789
10, 1.29512, 427, 0.903718
11, 1.4961, 427, 0.903705
12, 1.40443, 479, 0.905067
13, 1.3748, 498, 0.906057
14, 1.35351, 498, 0.906057
15, 1.3667, 498, 0.906057
16, 1.38706, 500, 0.906305
17, 1.34804, 500, 0.906305
18, 1.34952, 500, 0.906269
19, 1.52986, 500, 0.906269
20, 1.41312, 500, 0.906305
21, 1.43048, 500, 0.906269
22, 1.39604, 500, 0.906269
23, 1.42495, 500, 0.906305
24, 1.36187, 500, 0.906269
25, 1.35798, 500, 0.906269
26, 1.4991, 534, 0.893116
27, 1.38565, 534, 0.893116
28, 1.3396, 557, 0.905661
29, 1.4538, 557, 0.905661
30, 1.36715, 557, 0.905741
31, 1.31715, 557, 0.905661
32, 1.329, 557, 0.905661
33, 1.36867, 557, 0.905741
34, 1.3841, 557, 0.905661
35, 1.30983, 557, 0.905661
36, 1.34855, 557, 0.905741
37, 1.34828, 557, 0.905741
38, 1.27639, 557, 0.905661
39, 1.41154, 557, 0.905661
40, 1.31415, 557, 0.905741
41, 1.275, 557, 0.905661
42, 1.3094, 557, 0.905661
43, 1.29836, 557, 0.905741
44, 1.25624, 557, 0.905661
45, 1.25808, 557, 0.905661
46, 1.35402, 557, 0.905741
47, 1.29479, 557, 0.905741
48, 1.29093, 557, 0.905661
49, 1.37661, 557, 0.905741
50, 1.32721, 557, 0.905741
51, 1.27432, 557, 0.905661
52, 1.33493, 557, 0.905661
53, 1.31928, 557, 0.905741
54, 1.19996, 557, 0.905661
55, 1.24381, 557, 0.905661
56, 1.4156, 557, 0.905741
57, 1.19095, 557, 0.905661
58, 1.23255, 609, 0.904687
59, 1.28118, 609, 0.904758
60, 1.29765, 609, 0.904758
