iteration, itertime, mapcons, ai
1, 0.962204, 456, 0.907727
2, 0.910642, 510, 0.904515
3, 0.936087, 526, 0.908468
4, 0.920957, 526, 0.908468
5, 0.967491, 903, 0.905453
6, 0.906448, 1094, 0.909021
7, 0.957619, 1094, 0.908824
8, 0.885071, 1094, 0.909021
9, 0.93748, 1094, 0.909021
10, 0.906305, 1094, 0.908824
11, 0.934803, 1094, 0.908824
12, 0.939156, 1344, 0.909297
13, 0.911616, 1344, 0.909213
14, 0.879319, 1344, 0.909213
15, 0.885527, 1344, 0.909297
16, 0.895269, 1344, 0.909297
17, 0.940503, 1344, 0.909213
18, 0.893568, 1344, 0.909297
19, 0.90196, 1344, 0.909297
20, 0.887344, 1344, 0.909213
21, 0.902098, 1344, 0.909213
22, 0.894397, 1344, 0.909297
23, 0.895326, 1344, 0.909213
24, 0.883609, 1344, 0.909213
25, 0.913015, 1344, 0.909297
26, 0.882236, 1344, 0.909213
27, 0.898181, 1619, 0.912521
28, 0.890436, 1619, 0.912727
29, 0.884916, 1619, 0.912727
30, 0.926955, 1619, 0.912521
31, 0.900828, 1619, 0.912727
32, 0.892287, 1619, 0.912727
33, 0.887856, 1619, 0.912521
34, 0.893545, 1619, 0.912521
35, 0.887689, 1619, 0.912727
36, 0.90262, 1619, 0.912521
37, 0.944593, 1619, 0.912521
38, 0.948214, 1619, 0.912727
39, 0.947757, 1619, 0.912727
40, 0.961909, 1619, 0.912521
41, 0.966009, 1619, 0.912727
42, 1.02186, 1619, 0.912727
43, 0.962099, 1619, 0.912521
44, 1.04476, 1619, 0.912521
45, 0.950214, 1619, 0.912727
46, 0.97693, 1619, 0.912521
47, 0.962965, 1619, 0.912521
48, 1.04068, 1619, 0.912727
49, 1.04445, 1619, 0.912727
50, 0.964781, 1619, 0.912521
51, 0.947607, 1619, 0.912727
52, 0.953418, 1940, 0.913066
53, 1.0461, 1940, 0.91286
54, 1.04631, 1940, 0.91286
55, 0.9975, 1940, 0.913066
56, 0.965701, 1940, 0.91286
57, 0.975992, 1940, 0.91286
58, 0.97146, 1940, 0.913066
59, 0.974082, 1940, 0.91286
60, 0.970952, 1940, 0.91286
