iteration, itertime, mapcons, ai
1, 0.966525, 492, 0.907456
2, 0.928711, 492, 0.907583
3, 0.927602, 492, 0.907583
4, 0.997389, 492, 0.907456
5, 0.928939, 724, 0.910906
6, 0.942605, 724, 0.910906
7, 1.00821, 724, 0.910704
8, 0.965982, 724, 0.910704
9, 0.974115, 724, 0.910906
10, 0.937812, 724, 0.910704
11, 0.877614, 724, 0.910704
12, 0.973774, 724, 0.910906
13, 0.878133, 724, 0.910906
14, 0.959317, 724, 0.910704
15, 0.893403, 724, 0.910906
16, 0.904439, 724, 0.910906
17, 0.909073, 724, 0.910704
18, 0.932741, 766, 0.90741
19, 0.889772, 766, 0.907545
20, 0.981159, 810, 0.912278
21, 0.906507, 864, 0.91443
22, 0.897909, 864, 0.914622
23, 0.952308, 864, 0.914622
24, 0.875462, 1016, 0.911253
25, 0.900307, 1016, 0.911391
26, 0.89757, 1016, 0.911391
27, 0.897395, 1016, 0.911253
28, 0.872553, 1061, 0.90305
29, 0.874618, 1061, 0.903081
30, 0.863401, 1344, 0.910886
31, 0.868508, 1344, 0.910886
32, 0.866086, 1344, 0.910988
33, 0.939115, 1344, 0.910886
34, 0.87566, 1581, 0.913987
35, 0.883867, 1581, 0.914158
36, 0.919483, 1581, 0.914158
37, 0.933068, 1581, 0.913987
38, 0.886938, 1581, 0.914158
39, 0.888184, 1581, 0.914158
40, 0.845087, 1581, 0.913987
41, 0.955534, 1581, 0.913987
42, 0.925342, 1581, 0.914158
43, 0.94723, 1581, 0.913987
44, 0.935055, 1581, 0.913987
45, 0.958085, 1581, 0.914158
46, 0.939906, 1581, 0.914158
47, 0.871144, 1581, 0.913987
48, 0.832589, 1581, 0.914158
49, 0.876251, 1581, 0.914158
50, 0.928742, 1581, 0.913987
51, 0.847234, 1581, 0.913987
52, 0.918596, 1581, 0.914158
53, 0.921979, 1581, 0.913987
54, 0.907641, 1581, 0.913987
55, 0.886676, 1581, 0.914158
56, 0.877849, 1581, 0.914158
57, 0.876343, 1581, 0.913987
58, 0.890462, 1581, 0.914158
59, 0.890451, 1581, 0.914158
60, 0.872468, 1581, 0.913987
