iteration, itertime, mapcons, ai
1, 1.15967, 245, 0.906597
2, 0.979659, 367, 0.899445
3, 0.929819, 367, 0.899445
4, 0.918163, 367, 0.899709
5, 0.942306, 629, 0.90484
6, 0.914387, 629, 0.904603
7, 0.943141, 804, 0.900421
8, 0.848416, 804, 0.900421
9, 1.11108, 804, 0.90032
10, 0.983825, 804, 0.90032
11, 1.00053, 804, 0.900421
12, 1.04142, 804, 0.90032
13, 1.00108, 804, 0.90032
14, 1.00395, 804, 0.900421
15, 0.986017, 804, 0.900421
16, 0.921427, 804, 0.90032
17, 0.923702, 804, 0.900421
18, 0.912788, 804, 0.900421
19, 0.912047, 804, 0.90032
20, 0.919309, 804, 0.900421
21, 0.97702, 804, 0.900421
22, 0.964296, 804, 0.90032
23, 1.01041, 804, 0.90032
24, 0.925891, 804, 0.900421
25, 0.919575, 804, 0.90032
26, 0.92481, 804, 0.90032
27, 0.918225, 906, 0.90496
28, 0.902411, 1019, 0.909187
29, 0.904754, 1019, 0.909059
30, 0.921248, 1019, 0.909187
31, 0.946252, 1019, 0.909187
32, 0.906874, 1019, 0.909059
33, 0.898632, 1019, 0.909059
34, 0.908699, 1019, 0.909187
35, 0.857089, 1019, 0.909059
36, 0.898046, 1019, 0.909059
37, 0.904296, 1019, 0.909187
38, 0.915106, 1019, 0.909187
39, 0.907233, 1019, 0.909059
40, 0.941228, 1019, 0.909187
41, 0.914792, 1019, 0.909187
42, 0.911131, 1019, 0.909059
43, 0.906707, 1019, 0.909059
44, 0.921968, 1019, 0.909187
45, 0.953517, 1019, 0.909059
46, 0.892133, 1429, 0.915175
47, 0.890369, 1506, 0.914648
48, 0.904658, 1506, 0.914648
49, 0.900696, 1506, 0.914429
50, 0.950606, 1506, 0.914648
51, 0.905163, 1506, 0.914648
52, 0.882873, 1534, 0.912653
53, 0.931479, 1534, 0.912821
54, 0.883593, 1534, 0.912821
55, 0.875063, 1534, 0.912653
56, 0.926942, 1534, 0.912653
57, 0.880305, 1789, 0.926776
58, 0.92765, 1789, 0.926698
59, 0.925247, 1789, 0.926698
60, 0.882116, 1789, 0.926776
