iteration, itertime, mapcons, ai
1, 0.895531, 365, 0.901764
2, 0.928232, 423, 0.9109
3, 0.948621, 423, 0.910167
4, 0.985632, 423, 0.910167
5, 0.907241, 423, 0.9109
6, 0.902574, 423, 0.910167
7, 0.914576, 687, 0.899639
8, 0.966858, 869, 0.911207
9, 0.848334, 976, 0.911875
10, 0.867124, 976, 0.911875
11, 1.00479, 976, 0.912073
12, 1.01125, 1287, 0.915495
13, 0.973152, 1287, 0.915314
14, 0.993368, 1287, 0.915495
15, 0.987148, 1287, 0.915495
16, 0.96041, 1287, 0.915314
17, 0.972038, 1287, 0.915314
18, 0.965465, 1287, 0.915495
19, 0.961706, 1287, 0.915314
20, 1.00726, 1287, 0.915314
21, 0.946199, 1287, 0.915495
22, 1.01877, 1287, 0.915495
23, 0.963993, 1629, 0.917047
24, 0.956362, 1629, 0.917158
25, 0.947282, 1629, 0.917158
26, 0.949067, 1629, 0.917047
27, 0.962476, 1629, 0.917047
28, 0.924872, 1629, 0.917158
29, 0.976774, 1629, 0.917047
30, 0.873939, 1629, 0.917047
31, 0.874831, 1629, 0.917158
32, 0.869319, 1629, 0.917158
33, 0.880573, 1768, 0.914762
34, 0.856749, 1792, 0.913512
35, 0.918723, 1847, 0.912953
36, 0.860588, 1847, 0.912757
37, 0.866996, 1847, 0.912757
38, 0.893106, 1847, 0.912953
39, 0.890271, 1847, 0.912757
40, 0.90545, 1847, 0.912757
41, 0.871568, 1847, 0.912953
42, 0.866833, 1847, 0.912757
43, 0.871974, 1847, 0.912757
44, 0.873289, 1847, 0.912953
45, 0.889267, 1847, 0.912953
46, 0.903095, 1847, 0.912757
47, 0.879863, 1847, 0.912953
48, 0.890757, 1847, 0.912953
49, 0.904225, 1847, 0.912757
50, 0.86799, 1847, 0.912757
51, 0.874445, 1847, 0.912953
52, 0.860396, 1847, 0.912757
53, 0.873756, 1847, 0.912757
54, 0.885866, 1847, 0.912953
55, 0.883295, 1847, 0.912953
56, 0.872928, 1847, 0.912757
57, 0.870667, 1847, 0.912953
58, 0.912287, 1847, 0.912953
59, 0.861138, 1847, 0.912757
60, 0.893013, 1847, 0.912757
