iteration, itertime, mapcons, ai
1, 0.961121, 407, 0.900497
2, 0.939104, 648, 0.902033
3, 0.929394, 648, 0.902033
4, 0.892094, 648, 0.902145
5, 0.928008, 718, 0.901155
6, 0.906416, 718, 0.901014
7, 0.923053, 989, 0.911047
8, 0.925754, 989, 0.911047
9, 0.9094, 989, 0.910877
10, 0.952304, 989, 0.910877
11, 0.922066, 989, 0.911047
12, 0.946709, 1397, 0.912078
13, 0.935286, 1397, 0.912078
14, 0.902996, 1397, 0.912304
15, 0.917713, 1397, 0.912304
16, 0.875325, 1397, 0.912078
17, 0.863283, 1397, 0.912304
18, 0.872562, 1397, 0.912304
19, 0.87781, 1397, 0.912078
20, 0.86437, 1397, 0.912078
21, 0.864168, 1397, 0.912304
22, 0.922604, 1467, 0.914147
23, 0.887869, 1467, 0.914147
24, 0.910652, 1467, 0.914437
25, 0.938202, 1467, 0.914437
26, 0.901772, 1467, 0.914147
27, 0.871421, 1633, 0.927123
28, 0.905643, 1633, 0.927123
29, 0.865856, 1646, 0.914077
30, 0.910217, 1646, 0.914077
31, 0.857375, 1646, 0.914189
32, 0.854322, 1672, 0.911782
33, 0.875113, 1672, 0.911782
34, 0.890054, 2099, 0.911204
35, 0.883584, 2099, 0.911204
36, 0.869815, 2099, 0.91103
37, 0.879899, 2099, 0.911204
38, 0.865931, 2099, 0.911204
39, 0.888666, 2099, 0.91103
40, 0.852535, 2099, 0.911204
41, 0.871948, 2099, 0.911204
42, 0.918697, 2099, 0.91103
43, 0.879185, 2099, 0.91103
44, 0.879365, 2099, 0.911204
45, 0.942939, 2099, 0.91103
46, 0.954163, 2099, 0.91103
47, 0.964063, 2099, 0.911204
48, 0.964928, 2099, 0.911204
49, 0.963592, 2099, 0.91103
50, 0.951927, 2099, 0.911204
51, 0.966526, 2099, 0.911204
52, 0.970997, 2099, 0.91103
53, 1.05536, 2099, 0.91103
54, 1.03405, 2099, 0.911204
55, 1.03455, 2099, 0.91103
56, 0.97118, 2099, 0.91103
57, 1.04382, 2099, 0.911204
58, 0.944801, 2099, 0.913768
59, 0.970618, 2146, 0.913612
60, 0.96733, 2146, 0.913768
