iteration, itertime, mapcons, ai
1, 0.951715, 190, 0.913428
2, 1.02365, 272, 0.907274
3, 0.967605, 297, 0.915831
4, 1.00728, 297, 0.915831
5, 1.03139, 297, 0.915931
6, 1.02795, 362, 0.900027
7, 1.01815, 362, 0.900027
8, 0.949731, 362, 0.900074
9, 0.961088, 480, 0.883185
10, 0.944133, 480, 0.883192
11, 0.991857, 578, 0.897853
12, 0.936476, 578, 0.897853
13, 0.983466, 578, 0.897858
14, 1.01128, 578, 0.897858
15, 0.950954, 578, 0.897853
16, 0.914142, 578, 0.897858
17, 0.907846, 578, 0.897858
18, 0.919226, 578, 0.897853
19, 0.899134, 596, 0.901095
20, 0.920958, 596, 0.9011
21, 0.89758, 596, 0.901095
22, 0.890217, 596, 0.901095
23, 0.904989, 596, 0.9011
24, 0.911659, 607, 0.914336
25, 0.965326, 607, 0.914336
26, 0.956598, 607, 0.914331
27, 0.914053, 607, 0.914331
28, 0.913933, 607, 0.914336
29, 0.911968, 607, 0.914331
30, 0.925626, 607, 0.914331
31, 0.975889, 607, 0.914336
32, 0.910123, 628, 0.90772
33, 0.922221, 628, 0.907716
34, 0.945831, 766, 0.908076
35, 0.911704, 766, 0.908076
36, 0.887576, 766, 0.908089
37, 0.903565, 766, 0.908089
38, 0.907658, 766, 0.908076
39, 0.964566, 766, 0.908089
40, 0.951284, 766, 0.908089
41, 0.957507, 766, 0.908076
42, 0.916757, 766, 0.908076
43, 0.897841, 766, 0.908089
44, 0.885121, 766, 0.908076
45, 0.928448, 766, 0.908076
46, 0.901372, 766, 0.908089
47, 0.929305, 766, 0.908089
48, 0.945665, 766, 0.908076
49, 0.899196, 766, 0.908089
50, 0.910523, 766, 0.908089
51, 0.94654, 766, 0.908076
52, 0.953535, 766, 0.908076
53, 0.935018, 766, 0.908089
54, 0.918609, 766, 0.908076
55, 0.973022, 766, 0.908076
56, 0.920686, 766, 0.908089
57, 1.01961, 766, 0.908076
58, 0.924884, 766, 0.908076
59, 0.97266, 766, 0.908089
60, 0.903196, 766, 0.908089
