iteration, itertime, mapcons, ai
1, 0.901809, 229, 0.893334
2, 1.03027, 431, 0.88669
3, 1.01102, 431, 0.886605
4, 0.994836, 431, 0.88669
5, 1.00001, 431, 0.88669
6, 1.00705, 431, 0.886605
7, 0.964088, 431, 0.886605
8, 0.938135, 431, 0.88669
9, 0.938442, 431, 0.886605
10, 0.921109, 431, 0.886605
11, 1.00558, 431, 0.88669
12, 1.01326, 471, 0.910193
13, 1.02327, 496, 0.903697
14, 1.11741, 642, 0.909713
15, 1.02929, 642, 0.909713
16, 1.09308, 642, 0.909683
17, 1.02239, 642, 0.909683
18, 1.07416, 642, 0.909713
19, 0.978024, 645, 0.906393
20, 1.07572, 645, 0.906393
21, 0.977325, 645, 0.906441
22, 0.967027, 645, 0.906393
23, 0.984076, 645, 0.906393
24, 0.969096, 645, 0.906441
25, 0.966164, 645, 0.906441
26, 0.982347, 645, 0.906393
27, 0.98349, 645, 0.906441
28, 0.930251, 645, 0.906441
29, 0.924882, 645, 0.906393
30, 0.919042, 645, 0.906393
31, 0.922805, 645, 0.906441
32, 0.919775, 645, 0.906393
33, 0.970979, 645, 0.906393
34, 0.983266, 645, 0.906441
35, 0.940063, 645, 0.906441
36, 0.957152, 645, 0.906393
37, 0.966664, 645, 0.906441
38, 0.968917, 645, 0.906441
39, 0.910853, 645, 0.906393
40, 0.933293, 645, 0.906393
41, 0.939161, 830, 0.910964
42, 0.904846, 830, 0.910935
43, 0.927409, 830, 0.910935
44, 0.923396, 830, 0.910964
45, 0.952793, 830, 0.910964
46, 0.90225, 830, 0.910935
47, 0.915223, 830, 0.910964
48, 0.946011, 830, 0.910964
49, 0.924485, 830, 0.910935
50, 1.02171, 830, 0.910935
51, 0.923063, 830, 0.910964
52, 0.920875, 830, 0.910935
53, 0.893651, 830, 0.910935
54, 0.901078, 830, 0.910964
55, 0.939966, 830, 0.910935
56, 0.914447, 830, 0.910935
57, 0.971775, 830, 0.910964
58, 0.904439, 830, 0.910964
59, 0.917731, 830, 0.910935
60, 0.920851, 830, 0.910964
