iteration, itertime, mapcons, ai
1, 0.987374, 298, 0.909997
2, 1.02417, 447, 0.887366
3, 1.02973, 529, 0.88577
4, 0.984495, 529, 0.88577
5, 1.00309, 529, 0.885836
6, 1.00735, 529, 0.88577
7, 0.927809, 529, 0.88577
8, 0.989483, 529, 0.885836
9, 0.96115, 529, 0.885836
10, 0.940128, 529, 0.88577
11, 0.938854, 529, 0.885836
12, 0.913529, 529, 0.885836
13, 0.973814, 529, 0.88577
14, 0.959544, 529, 0.88577
15, 0.906357, 550, 0.891087
16, 0.91337, 550, 0.891031
17, 0.917727, 550, 0.891031
18, 0.971331, 577, 0.887347
19, 0.93843, 577, 0.887292
20, 0.944811, 577, 0.887292
21, 0.915117, 577, 0.887347
22, 0.951183, 577, 0.887347
23, 0.907616, 577, 0.887292
24, 0.910512, 577, 0.887347
25, 0.945021, 577, 0.887347
26, 0.930571, 577, 0.887292
27, 0.900311, 577, 0.887292
28, 0.909426, 577, 0.887347
29, 0.910102, 577, 0.887292
30, 0.980504, 577, 0.887292
31, 0.913904, 577, 0.887347
32, 0.924683, 577, 0.887347
33, 0.914036, 577, 0.887292
34, 0.979911, 577, 0.887347
35, 0.923176, 577, 0.887347
36, 0.918442, 577, 0.887292
37, 0.907451, 577, 0.887292
38, 0.955741, 577, 0.887347
39, 0.952733, 577, 0.887292
40, 0.910677, 577, 0.887292
41, 0.91231, 577, 0.887347
42, 0.916601, 577, 0.887347
43, 0.911426, 577, 0.887292
44, 0.983245, 577, 0.887347
45, 0.903068, 577, 0.887347
46, 0.894998, 577, 0.887292
47, 0.882864, 577, 0.887292
48, 0.887596, 577, 0.887347
49, 0.886644, 577, 0.887292
50, 0.900528, 577, 0.887292
51, 0.929376, 577, 0.887347
52, 0.950511, 577, 0.887292
53, 0.879653, 577, 0.887292
54, 0.935812, 577, 0.887347
55, 1.01403, 577, 0.887347
56, 1.04728, 577, 0.887292
57, 1.10247, 577, 0.887347
58, 1.0156, 577, 0.887347
59, 1.08235, 577, 0.887292
60, 1.00349, 577, 0.887292
