iteration, itertime, mapcons, ai
1, 1.03064, 221, 0.862134
2, 0.922909, 263, 0.887202
3, 0.977854, 406, 0.88296
4, 0.997194, 406, 0.88296
5, 0.957293, 501, 0.884262
6, 0.958612, 501, 0.884278
7, 0.9532, 501, 0.884278
8, 0.944373, 501, 0.884262
9, 0.937185, 501, 0.884278
10, 0.982311, 501, 0.884278
11, 0.993236, 501, 0.884262
12, 0.93371, 501, 0.884262
13, 0.974142, 501, 0.884278
14, 0.917297, 638, 0.903369
15, 0.899827, 638, 0.903369
16, 0.910225, 638, 0.903374
17, 0.965288, 638, 0.903374
18, 0.926387, 638, 0.903369
19, 0.929584, 638, 0.903374
20, 0.955912, 638, 0.903374
21, 0.922088, 638, 0.903369
22, 0.92715, 638, 0.903369
23, 0.903269, 638, 0.903374
24, 0.909335, 638, 0.903369
25, 0.903469, 638, 0.903369
26, 0.896942, 638, 0.903374
27, 0.924152, 638, 0.903374
28, 0.911323, 638, 0.903369
29, 0.876578, 638, 0.903374
30, 0.92865, 638, 0.903374
31, 0.902109, 638, 0.903369
32, 0.938123, 638, 0.903369
33, 0.887682, 842, 0.899152
34, 0.93329, 842, 0.899203
35, 0.923849, 893, 0.896141
36, 0.911007, 893, 0.896091
37, 0.898929, 893, 0.896091
38, 0.888667, 1014, 0.895305
39, 0.893519, 1014, 0.89527
40, 0.902469, 1014, 0.89527
41, 0.940562, 1014, 0.895305
42, 0.906276, 1014, 0.89527
43, 0.903835, 1014, 0.89527
44, 0.89563, 1014, 0.895305
45, 0.891181, 1014, 0.895305
46, 0.947128, 1014, 0.89527
47, 0.945223, 1014, 0.895305
48, 0.885576, 1014, 0.895305
49, 0.896456, 1014, 0.89527
50, 0.896171, 1014, 0.89527
51, 0.901946, 1014, 0.895305
52, 0.890927, 1014, 0.89527
53, 0.95242, 1014, 0.89527
54, 0.973891, 1014, 0.895305
55, 0.969142, 1014, 0.895305
56, 0.973001, 1014, 0.89527
57, 0.995288, 1014, 0.895305
58, 1.06708, 1014, 0.895305
59, 0.973702, 1014, 0.89527
60, 1.09595, 1014, 0.89527
