iteration, itertime, mapcons, ai
1, 2.88989, 616, 0.867988
2, 2.77939, 645, 0.877447
3, 2.69513, 645, 0.877447
4, 2.62385, 645, 0.877447
5, 2.64323, 655, 0.869718
6, 2.79729, 678, 0.886485
7, 2.66063, 678, 0.886485
8, 2.65568, 678, 0.886485
9, 2.72967, 678, 0.886485
10, 2.90391, 696, 0.869254
11, 3.0012, 696, 0.869254
12, 2.90292, 696, 0.869254
13, 2.95277, 696, 0.869254
14, 3.05107, 696, 0.869254
15, 2.60789, 696, 0.869254
16, 2.67722, 696, 0.869254
17, 2.85216, 696, 0.869254
18, 2.61545, 696, 0.869254
19, 2.70683, 696, 0.869254
20, 2.79932, 696, 0.869254
21, 2.61594, 696, 0.869254
22, 2.69279, 696, 0.869254
23, 2.86302, 696, 0.869254
24, 2.63076, 696, 0.869254
25, 2.70447, 711, 0.876009
26, 2.86512, 711, 0.876009
27, 2.63589, 711, 0.876009
28, 2.72656, 711, 0.876009
29, 2.89283, 711, 0.876009
30, 2.65564, 711, 0.876009
31, 2.87949, 711, 0.876009
32, 3.15229, 711, 0.876009
33, 2.8245, 723, 0.871537
34, 2.99091, 723, 0.871537
35, 2.83915, 723, 0.871537
36, 2.7111, 723, 0.871537
37, 2.84399, 723, 0.871537
38, 2.75893, 723, 0.871537
39, 2.68549, 723, 0.871537
40, 2.91411, 723, 0.871537
41, 2.72865, 723, 0.871537
42, 2.46202, 723, 0.871537
43, 2.82767, 723, 0.871537
44, 2.9199, 723, 0.871537
45, 2.85347, 723, 0.871537
46, 3.16449, 723, 0.871537
47, 2.80197, 723, 0.871537
48, 2.97974, 723, 0.871537
49, 3.16708, 723, 0.871537
50, 2.81216, 723, 0.871537
51, 2.89211, 723, 0.871537
52, 2.48992, 723, 0.871537
53, 2.54093, 723, 0.871537
54, 2.51192, 723, 0.871537
55, 2.45766, 723, 0.871537
56, 2.56009, 960, 0.875555
57, 2.5309, 1642, 0.860505
58, 2.43274, 1642, 0.860505
59, 2.60112, 1642, 0.860505
60, 2.52381, 1642, 0.860505
