iteration, itertime, mapcons, ai
1, 2.9447, 604, 0.865664
2, 3.07621, 604, 0.868991
3, 3.01967, 642, 0.886655
4, 3.05605, 642, 0.886655
5, 2.94387, 642, 0.886655
6, 2.91909, 663, 0.871005
7, 2.92618, 673, 0.870846
8, 2.82728, 697, 0.88538
9, 2.72427, 697, 0.88538
10, 2.69061, 697, 0.88538
11, 2.7396, 728, 0.88535
12, 2.70471, 728, 0.88535
13, 2.77089, 728, 0.88535
14, 2.69768, 728, 0.88535
15, 2.68927, 728, 0.88535
16, 2.69611, 728, 0.88535
17, 2.70901, 728, 0.88535
18, 2.70738, 728, 0.88535
19, 2.67384, 728, 0.88535
20, 2.70966, 728, 0.88535
21, 2.64233, 728, 0.88535
22, 2.67322, 728, 0.88535
23, 2.70246, 728, 0.88535
24, 2.72011, 728, 0.88535
25, 2.91791, 728, 0.88535
26, 2.80256, 728, 0.88535
27, 2.89835, 728, 0.88535
28, 2.82613, 728, 0.88535
29, 2.64562, 728, 0.88535
30, 2.69353, 728, 0.88535
31, 2.66146, 728, 0.88535
32, 2.62484, 728, 0.88535
33, 2.72654, 773, 0.886873
34, 2.767, 773, 0.886873
35, 2.63299, 773, 0.886873
36, 2.68699, 773, 0.886873
37, 2.6519, 773, 0.886873
38, 2.60141, 927, 0.859166
39, 2.7289, 1210, 0.859809
40, 2.68404, 1311, 0.862898
41, 2.54151, 1601, 0.860258
42, 2.63766, 2159, 0.860638
43, 2.6281, 2252, 0.868293
44, 2.56947, 2252, 0.868293
45, 2.6222, 2673, 0.872827
46, 2.66403, 2673, 0.872827
47, 2.51245, 2673, 0.872827
48, 2.57306, 2673, 0.872827
49, 2.66407, 2673, 0.872827
50, 2.55789, 2673, 0.872827
51, 2.55966, 2673, 0.872827
52, 2.65007, 3333, 0.867614
53, 2.52151, 3333, 0.867614
54, 2.56762, 4071, 0.863696
55, 2.63297, 4071, 0.863696
56, 2.65653, 4071, 0.863696
57, 2.524, 4071, 0.863696
58, 2.68955, 4071, 0.863696
59, 2.67096, 4071, 0.863696
60, 2.48469, 4071, 0.863696
