iteration, itertime, mapcons, ai
1, 2.8162, 658, 0.881061
2, 2.7605, 728, 0.894503
3, 2.64677, 728, 0.894503
4, 2.80178, 728, 0.894503
5, 2.79766, 728, 0.894503
6, 2.77337, 728, 0.894503
7, 2.68372, 762, 0.884359
8, 2.73674, 762, 0.884359
9, 2.61372, 762, 0.884359
10, 2.62884, 762, 0.884359
11, 2.60161, 762, 0.884359
12, 2.6414, 762, 0.884359
13, 2.49952, 762, 0.884359
14, 2.50117, 762, 0.884359
15, 2.59654, 762, 0.884359
16, 2.63775, 793, 0.877339
17, 2.55415, 793, 0.877339
18, 2.59075, 793, 0.877339
19, 2.48485, 793, 0.877339
20, 2.72609, 793, 0.877339
21, 2.63228, 793, 0.877339
22, 2.63899, 831, 0.879927
23, 2.63763, 831, 0.879927
24, 2.60933, 831, 0.879927
25, 2.63967, 831, 0.879927
26, 2.59698, 831, 0.879927
27, 2.61949, 831, 0.879927
28, 2.65963, 831, 0.879927
29, 2.59148, 831, 0.879927
30, 2.6653, 831, 0.879927
31, 2.62997, 831, 0.879927
32, 2.62689, 831, 0.879927
33, 2.68458, 831, 0.879927
34, 2.68757, 831, 0.879927
35, 2.6556, 831, 0.879927
36, 2.557, 831, 0.879927
37, 2.70089, 831, 0.879927
38, 2.59872, 831, 0.879927
39, 2.62675, 831, 0.879927
40, 2.8424, 831, 0.879927
41, 2.77585, 831, 0.879927
42, 2.6225, 831, 0.879927
43, 2.69581, 831, 0.879927
44, 2.68742, 831, 0.879927
45, 2.6372, 831, 0.879927
46, 2.65365, 831, 0.879927
47, 2.62868, 831, 0.879927
48, 2.61599, 831, 0.879927
49, 2.65944, 831, 0.879927
50, 2.63924, 831, 0.879927
51, 2.64553, 831, 0.879927
52, 2.71694, 831, 0.879927
53, 2.63613, 831, 0.879927
54, 2.8169, 831, 0.879927
55, 2.65971, 831, 0.879927
56, 2.60641, 831, 0.879927
57, 2.63746, 831, 0.879927
58, 2.70019, 831, 0.879927
59, 2.71924, 831, 0.879927
60, 2.65823, 831, 0.879927
