iteration, itertime, mapcons, ai
1, 2.92313, 598, 0.886615
2, 2.69249, 598, 0.886615
3, 2.53886, 600, 0.883045
4, 2.71957, 687, 0.857898
5, 2.75521, 807, 0.864304
6, 2.64949, 807, 0.864304
7, 2.67418, 1577, 0.867262
8, 2.926, 2490, 0.862126
9, 2.76119, 3011, 0.872244
10, 2.82682, 3896, 0.87515
11, 2.84801, 3896, 0.87515
12, 2.77585, 3896, 0.87515
13, 2.61382, 3896, 0.87515
14, 2.70576, 3896, 0.87515
15, 2.56001, 3896, 0.87515
16, 2.62057, 3896, 0.87515
17, 2.67212, 3896, 0.87515
18, 2.6124, 3896, 0.87515
19, 2.57614, 3896, 0.87515
20, 2.60568, 3896, 0.87515
21, 2.56547, 3896, 0.87515
22, 2.61773, 3896, 0.87515
23, 2.62322, 3896, 0.87515
24, 2.57918, 3896, 0.87515
25, 2.58896, 3896, 0.87515
26, 2.6279, 3896, 0.87515
27, 2.58836, 3896, 0.87515
28, 2.62792, 3896, 0.87515
29, 2.59446, 3896, 0.87515
30, 2.61018, 3896, 0.87515
31, 2.59147, 3896, 0.87515
32, 2.56649, 3896, 0.87515
33, 2.67198, 3896, 0.87515
34, 2.64012, 3896, 0.87515
35, 2.76165, 3896, 0.87515
36, 2.79936, 3896, 0.87515
37, 2.74156, 3896, 0.87515
38, 2.63775, 3896, 0.87515
39, 2.6517, 3896, 0.87515
40, 2.63794, 4078, 0.874129
41, 2.58219, 4078, 0.874129
42, 2.66988, 4078, 0.874129
43, 2.6271, 4078, 0.874129
44, 2.63112, 4078, 0.874129
45, 2.6437, 4078, 0.874129
46, 2.78813, 4078, 0.874129
47, 2.61676, 4078, 0.874129
48, 2.79305, 4078, 0.874129
49, 2.78363, 4078, 0.874129
50, 2.77845, 4078, 0.874129
51, 2.79999, 4078, 0.874129
52, 2.81133, 4078, 0.874129
53, 2.8012, 4078, 0.874129
54, 2.86266, 4078, 0.874129
55, 2.86397, 4078, 0.874129
56, 2.7714, 4078, 0.874129
57, 2.80558, 4078, 0.874129
58, 2.7309, 4078, 0.874129
59, 2.58831, 4078, 0.874129
60, 2.6237, 4078, 0.874129
