iteration, itertime, mapcons, ai
1, 2.74952, 664, 0.88404
2, 2.77594, 675, 0.888519
3, 2.86854, 693, 0.891376
4, 2.84848, 762, 0.888687
5, 2.86582, 762, 0.888687
6, 2.82721, 762, 0.888687
7, 2.71691, 762, 0.888687
8, 2.66621, 762, 0.888687
9, 2.71855, 762, 0.888687
10, 2.66058, 763, 0.899966
11, 2.65884, 763, 0.899966
12, 2.65213, 763, 0.899966
13, 2.65918, 763, 0.899966
14, 2.6583, 1215, 0.85936
15, 2.61633, 1292, 0.862448
16, 2.81585, 1323, 0.863385
17, 2.75847, 1804, 0.859581
18, 2.79237, 1804, 0.859581
19, 2.85781, 2180, 0.860194
20, 2.9393, 2180, 0.860194
21, 2.78148, 2180, 0.860194
22, 2.6095, 2180, 0.860194
23, 2.65775, 3838, 0.8685
24, 2.56409, 3838, 0.8685
25, 2.63454, 3838, 0.8685
26, 2.63872, 3838, 0.8685
27, 2.64705, 3838, 0.8685
28, 2.62153, 3838, 0.8685
29, 2.63423, 3838, 0.8685
30, 2.58537, 3838, 0.8685
31, 2.61536, 3838, 0.8685
32, 2.61135, 3838, 0.8685
33, 2.59172, 3838, 0.8685
34, 2.82172, 3838, 0.8685
35, 2.82483, 3838, 0.8685
36, 2.63247, 3838, 0.8685
37, 2.58998, 3838, 0.8685
38, 2.63519, 3838, 0.8685
39, 2.59857, 3838, 0.8685
40, 2.64307, 3923, 0.862913
41, 2.62398, 3923, 0.862913
42, 2.60108, 3923, 0.862913
43, 2.49303, 3923, 0.862913
44, 2.71959, 3923, 0.862913
45, 2.82123, 4349, 0.864843
46, 2.59881, 4349, 0.864843
47, 2.59342, 4349, 0.864843
48, 2.57286, 4349, 0.864843
49, 2.55708, 4349, 0.864843
50, 2.61929, 4349, 0.864843
51, 2.5809, 4349, 0.864843
52, 2.56274, 4349, 0.864843
53, 2.64935, 4349, 0.864843
54, 2.57637, 4349, 0.864843
55, 2.56763, 4349, 0.864843
56, 2.58361, 4349, 0.864843
57, 2.60817, 4349, 0.864843
58, 2.57794, 4349, 0.864843
59, 2.6009, 4349, 0.864843
60, 2.6268, 4349, 0.864843
