iteration, itertime, mapcons, ai
1, 3.2431, 693, 0.889481
2, 3.35341, 693, 0.889481
3, 3.49566, 738, 0.866097
4, 2.90695, 1026, 0.858009
5, 3.36066, 1026, 0.858009
6, 2.86638, 1026, 0.858009
7, 2.89214, 1111, 0.858295
8, 3.05211, 1162, 0.866237
9, 2.59248, 1162, 0.866237
10, 2.60881, 1180, 0.860785
11, 2.81179, 1180, 0.860785
12, 2.62154, 2068, 0.859377
13, 2.54598, 2068, 0.859377
14, 2.52114, 2068, 0.859377
15, 2.54024, 2068, 0.859377
16, 2.53186, 2099, 0.858243
17, 2.5073, 2099, 0.858243
18, 2.76835, 3522, 0.865587
19, 2.84147, 3583, 0.886902
20, 3.01541, 4036, 0.869043
21, 2.76116, 4036, 0.869043
22, 2.88322, 4036, 0.869043
23, 2.95023, 4036, 0.869043
24, 2.73254, 4036, 0.869043
25, 3.2599, 4036, 0.869043
26, 3.01373, 4036, 0.869043
27, 2.71084, 4036, 0.869043
28, 2.85931, 4036, 0.869043
29, 2.78851, 4036, 0.869043
30, 2.67404, 4065, 0.864341
31, 2.90869, 4065, 0.864341
32, 2.73904, 4065, 0.864341
33, 2.99799, 4065, 0.864341
34, 3.24998, 4065, 0.864341
35, 2.70152, 4065, 0.864341
36, 2.77081, 4065, 0.864341
37, 2.84734, 4065, 0.864341
38, 2.65877, 4065, 0.864341
39, 2.79269, 4065, 0.864341
40, 3.10967, 4065, 0.864341
41, 2.87623, 4065, 0.864341
42, 3.17999, 4065, 0.864341
43, 2.87275, 4065, 0.864341
44, 2.64758, 4065, 0.864341
45, 2.84025, 4065, 0.864341
46, 2.81353, 4065, 0.864341
47, 2.70204, 4065, 0.864341
48, 2.79894, 4065, 0.864341
49, 3.08558, 4065, 0.864341
50, 2.9771, 4065, 0.864341
51, 2.89636, 4065, 0.864341
52, 2.75816, 4065, 0.864341
53, 2.80306, 4065, 0.864341
54, 2.88479, 4065, 0.864341
55, 2.962, 4065, 0.864341
56, 3.1983, 4065, 0.864341
57, 2.97599, 4065, 0.864341
58, 2.59588, 4065, 0.864341
59, 2.80948, 4065, 0.864341
60, 2.78957, 4065, 0.864341
